term,term_normalized,is_multi_word,subjects,grade_bands,standard_ref,awl_match,is_latin_derived,is_greek_derived,etymology_evidence,is_bridge_priority,transliteration_difficulty,frequency,pos
simple,simple,False,ela|math|science,3-5|6-8|9-12|K-2,L.1.6,False,False,False,,False,low,268,ADJ
wave,wave,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,268,NOUN
phrase,phrase,False,ela,3-5|6-8|9-12|K-2,,False,False,False,,False,low,257,NOUN
quartile,quartile,False,math,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,255,NOUN
circuit,circuit,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,249,NOUN
space,space,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RF.1.1,False,False,False,,False,low,248,NOUN
sample,sample,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,245,NOUN
map,map,False,ela|science|social-studies,3-5|6-8|9-12|K-2,RI.3.7,False,False,False,,False,low,244,NOUN
star,star,False,math|science,3-5|6-8|9-12|K-2,5.ESS.1,False,False,False,,False,low,241,NOUN
great,great,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,238,ADJ
weather,weather,False,math|science,3-5|6-8|9-12|K-2,F.3,False,False,False,,False,low,237,NOUN
angle,angle,False,math|science,3-5|6-8|9-12|K-2,F.2,False,False,False,,False,low,235,NOUN
electron,electron,False,ela|science,3-5|6-8|9-12|K-2,RI.1.5,False,False,False,,False,medium,233,NOUN
characteristic,characteristic,False,math|science|social-studies,3-5|6-8|9-12|K-2,F.9,False,False,False,,False,high,233,NOUN
gas,gas,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,231,NOUN
growth,growth,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,W.5.1,False,False,False,,False,low,223,NOUN
good,good,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.4.9,False,False,False,,False,low,221,ADJ
charge,charge,False,ela|math|science,3-5|6-8|9-12|K-2,6.NS.6,False,False,False,,False,low,210,NOUN
rule,rule,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,205,NOUN
genetic,genetic,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,202,ADJ
power,power,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,8.EE.3,False,False,False,,False,low,201,NOUN
sound,sound,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RF.4.3,False,False,False,,False,low,200,ADJ
single,single,False,ela|math|science,3-5|6-8|9-12|K-2,8.EE.3,False,False,False,,False,low,198,ADJ
clear,clear,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,194,ADJ
habitat,habitat,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,193,NOUN
size,size,False,math|science|social-studies,3-5|6-8|9-12|K-2,8.NS.2,False,False,False,,False,low,189,NOUN
solid,solid,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,189,ADJ
wind,wind,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,188,NOUN
fossil,fossil,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,188,NOUN
climate,climate,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,186,NOUN
arts,arts,False,ela,3-5|6-8|9-12|K-2,,False,False,False,,False,low,185,PROPN
pair,pair,False,math|science,3-5|6-8|9-12|K-2,5.OA.3,False,False,False,,False,low,185,NOUN
median,median,False,math,3-5|6-8|9-12|K-2,,False,False,False,,False,low,184,ADJ
liquid,liquid,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,178,NOUN
behavior,behavior,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,178,NOUN
drawing,drawing,False,ela|math|science,3-5|6-8|9-12|K-2,RL.4.1,False,False,False,,False,low,176,NOUN
finding,finding,False,ela|math|science,3-5|6-8|9-12|K-2,4.OA.4,False,False,False,,False,low,173,NOUN
plot,plot,False,ela|math|science,3-5|6-8|9-12|K-2,RL.3.8,False,False,False,,False,low,173,NOUN
claim,claim,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,172,NOUN
heat,heat,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,172,NOUN
war,war,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,170,NOUN
plate,plate,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,169,NOUN
flow,flow,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,167,NOUN
ocean,ocean,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,165,NOUN
strength,strength,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,163,NOUN
choice,choice,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,159,NOUN
basic,basic,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,159,PROPN
action,action,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.3.3,False,False,False,,False,low,158,NOUN
molecule,molecule,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,157,NOUN
studies,studies,False,ela|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,152,PROPN
case,case,False,ela|math|science,3-5|6-8|9-12|K-2,3.NF.3,False,False,False,,False,low,152,NOUN
solar,solar,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,152,ADJ
trait,trait,False,ela|science|social-studies,3-5|6-8|9-12|K-2,RL.3.3,False,False,False,,False,low,146,NOUN
scale,scale,False,math|science|social-studies,3-5|6-8|9-12|K-2,3.MD.3,False,False,False,,False,low,146,NOUN
atmosphere,atmosphere,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,146,NOUN
proof,proof,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,143,NOUN
height,height,False,math|science,3-5|6-8|9-12|K-2,F.2,False,False,False,,False,low,141,NOUN
magnetic field,magnetic field,True,science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,141,NP
quadratic,quadratic,False,math|science,9-12,,False,False,False,,False,medium,140,ADJ
building,building,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,SL.4.1,False,False,False,,False,low,139,NOUN
